# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"277" "t1024aep" TRUE FALSE FALSE FALSE
"278" "t10250aep" FALSE FALSE FALSE FALSE
"279" "t10251aep" FALSE FALSE FALSE FALSE
"280" "t10252aep" FALSE FALSE FALSE FALSE
"281" "t10253aep" FALSE FALSE FALSE FALSE
"282" "t10254aep" FALSE FALSE FALSE FALSE
"283" "t10255aep" FALSE FALSE FALSE FALSE
"284" "t10256aep" FALSE FALSE FALSE FALSE
"285" "t10257aep" FALSE FALSE FALSE FALSE
"286" "t10258aep" FALSE FALSE FALSE FALSE
"287" "t10259aep" FALSE FALSE FALSE FALSE
"288" "t1025aep" TRUE FALSE FALSE FALSE
"289" "t10260aep" FALSE FALSE FALSE FALSE
"290" "t10261aep" FALSE FALSE FALSE FALSE
"291" "t10262aep" FALSE FALSE FALSE FALSE
"292" "t10263aep" FALSE FALSE FALSE FALSE
"293" "t10264aep" FALSE FALSE FALSE FALSE
"294" "t10265aep" FALSE FALSE FALSE FALSE
"295" "t10266aep" FALSE FALSE FALSE FALSE
"296" "t10267aep" FALSE FALSE FALSE FALSE
"297" "t10268aep" FALSE FALSE FALSE FALSE
"298" "t10269aep" FALSE FALSE FALSE FALSE
"299" "t1026aep" FALSE FALSE FALSE FALSE
"300" "t10270aep" FALSE FALSE FALSE FALSE
"301" "t10271aep" FALSE FALSE FALSE FALSE
"302" "t10272aep" FALSE FALSE FALSE FALSE
"303" "t10273aep" FALSE FALSE FALSE FALSE
"304" "t10274aep" FALSE FALSE FALSE FALSE
"305" "t10275aep" FALSE FALSE FALSE FALSE
"306" "t10276aep" FALSE FALSE FALSE FALSE
"307" "t10277aep" FALSE FALSE FALSE FALSE
"308" "t10278aep" FALSE FALSE FALSE FALSE
"309" "t10279aep" FALSE FALSE FALSE FALSE
"310" "t1027aep" FALSE FALSE FALSE FALSE
"311" "t10280aep" FALSE FALSE FALSE FALSE
"312" "t10281aep" FALSE FALSE FALSE FALSE
"313" "t10282aep" FALSE FALSE FALSE FALSE
"314" "t10283aep" FALSE FALSE FALSE FALSE
"315" "t10284aep" FALSE FALSE FALSE FALSE
"316" "t10285aep" FALSE FALSE FALSE FALSE
"317" "t10286aep" FALSE FALSE FALSE FALSE
"318" "t10287aep" FALSE FALSE FALSE FALSE
"319" "t10288aep" FALSE FALSE FALSE FALSE
"320" "t10289aep" FALSE FALSE FALSE FALSE
"321" "t1028aep" TRUE FALSE TRUE FALSE
"322" "t10290aep" FALSE FALSE FALSE FALSE
"323" "t10291aep" FALSE FALSE FALSE FALSE
"324" "t10292aep" FALSE FALSE FALSE FALSE
"325" "t10293aep" FALSE FALSE FALSE FALSE
"326" "t10294aep" FALSE FALSE FALSE FALSE
"327" "t10295aep" FALSE FALSE FALSE FALSE
"328" "t10296aep" FALSE FALSE FALSE FALSE
"329" "t10297aep" FALSE FALSE FALSE FALSE
"330" "t10298aep" FALSE FALSE FALSE FALSE
"331" "t10299aep" FALSE FALSE FALSE FALSE
"332" "t1029aep" TRUE FALSE FALSE FALSE
"333" "t102aep" FALSE FALSE FALSE FALSE
"334" "t10300aep" FALSE FALSE FALSE FALSE
"335" "t10301aep" FALSE FALSE FALSE FALSE
"336" "t10302aep" FALSE FALSE FALSE FALSE
"337" "t10303aep" FALSE FALSE FALSE FALSE
"338" "t10304aep" FALSE FALSE FALSE FALSE
"339" "t10305aep" FALSE FALSE FALSE FALSE
"340" "t10306aep" FALSE FALSE FALSE FALSE
"341" "t10307aep" FALSE FALSE FALSE FALSE
"342" "t10308aep" FALSE FALSE FALSE FALSE
"343" "t10309aep" FALSE FALSE FALSE FALSE
"344" "t1030aep" FALSE FALSE FALSE FALSE
"345" "t10310aep" FALSE FALSE FALSE FALSE
"346" "t10311aep" FALSE FALSE FALSE FALSE
"347" "t10312aep" FALSE FALSE FALSE FALSE
"348" "t10313aep" FALSE FALSE FALSE FALSE
"349" "t10314aep" FALSE FALSE FALSE FALSE
"350" "t10315aep" FALSE FALSE FALSE FALSE
"351" "t10316aep" FALSE FALSE FALSE FALSE
"352" "t10317aep" FALSE FALSE FALSE FALSE
"353" "t10318aep" FALSE FALSE FALSE FALSE
"354" "t10319aep" FALSE FALSE FALSE FALSE
"355" "t1031aep" FALSE FALSE FALSE FALSE
"356" "t10320aep" FALSE FALSE FALSE FALSE
"357" "t10321aep" FALSE FALSE FALSE FALSE
"358" "t10322aep" FALSE FALSE FALSE FALSE
"359" "t10323aep" FALSE FALSE FALSE FALSE
"360" "t10324aep" FALSE FALSE FALSE FALSE
"361" "t10325aep" FALSE FALSE FALSE FALSE
"362" "t10326aep" FALSE FALSE FALSE FALSE
"363" "t10327aep" FALSE FALSE FALSE FALSE
"364" "t10328aep" FALSE FALSE FALSE FALSE
"365" "t10329aep" FALSE FALSE FALSE FALSE
"366" "t1032aep" TRUE FALSE TRUE FALSE
"367" "t10330aep" FALSE FALSE FALSE FALSE
"368" "t10331aep" FALSE FALSE FALSE FALSE
"369" "t10332aep" FALSE FALSE FALSE FALSE
"370" "t10333aep" FALSE FALSE FALSE FALSE
"371" "t10334aep" FALSE FALSE FALSE FALSE
"372" "t10335aep" FALSE FALSE FALSE FALSE
"373" "t10336aep" FALSE FALSE FALSE FALSE
"374" "t10337aep" FALSE FALSE FALSE FALSE
"375" "t10338aep" FALSE FALSE FALSE FALSE
"376" "t10339aep" FALSE FALSE FALSE FALSE
"377" "t1033aep" FALSE FALSE FALSE FALSE
"378" "t10340aep" FALSE FALSE FALSE FALSE
"379" "t10341aep" FALSE FALSE FALSE FALSE
"380" "t10342aep" FALSE FALSE FALSE FALSE
"381" "t10343aep" FALSE FALSE FALSE FALSE
"382" "t10344aep" FALSE FALSE FALSE FALSE
"383" "t10345aep" FALSE FALSE FALSE FALSE
